0.05	0.522024	0.380302	0.524989	0.499111
0.1	0.537985	0.257875	0.549825	0.493051
0.15	0.547809	0.135245	0.574128	0.477073
0.2	0.551546	0.0147806	0.597295	0.446911
0.25	0.549359	-0.101341	0.61852	0.398811
0.3	0.541517	-0.211172	0.636824	0.329644
0.35	0.528375	-0.313051	0.651093	0.23709
0.4	0.510367	-0.405643	0.66012	0.119858
0.45	0.487983	-0.487961	0.662664	-0.0221315
0.5	0.461753	-0.559351	0.657513	-0.187626
0.55	0.432236	-0.619476	0.643551	-0.373993
0.6	0.399995	-0.668321	0.619831	-0.57718
0.65	0.365586	-0.706258	0.585643	-0.791642
0.7	0.329536	-0.734182	0.540597	-1.01019
0.75	0.292309	-0.753704	0.484705	-1.22378
0.8	0.254265	-0.767314	0.418483	-1.42146
0.85	0.21562	-0.778374	0.343034	-1.59067
0.9	0.176405	-0.79076	0.260111	-1.71828
0.95	0.136461	-0.808068	0.172097	-1.79272
1	0.0954769	-0.832533	0.0818561	-1.80658
1.05	0.053085	-0.864189	-0.00752444	-1.75871
1.1	0.00897455	-0.900727	-0.0930717	-1.65465
1.15	-0.0370037	-0.938157	-0.172228	-1.50514
1.2	-0.0847786	-0.971816	-0.243053	-1.32376
1.25	-0.134048	-0.997228	-0.304311	-1.12485
1.3	-0.1843	-1.01057	-0.355476	-0.922196
1.35	-0.234852	-1.00882	-0.396679	-0.728315
1.4	-0.284892	-0.989727	-0.428635	-0.553921
1.45	-0.333511	-0.951848	-0.452538	-0.40735
1.5	-0.379753	-0.894631	-0.469926	-0.293905
1.55	-0.422658	-0.818525	-0.482514	-0.215366
1.6	-0.461314	-0.725007	-0.492019	-0.169975
1.65	-0.494907	-0.616424	-0.499989	-0.15305
1.7	-0.522754	-0.495717	-0.507691	-0.158048
1.75	-0.544329	-0.366089	-0.516039	-0.177674
1.8	-0.559268	-0.230777	-0.525582	-0.204677
1.85	-0.567365	-0.0929332	-0.536515	-0.232201
1.9	-0.56857	0.0443815	-0.548702	-0.253758
1.95	-0.562985	0.178167	-0.561686	-0.263053
2	-0.550861	0.305477	-0.574699	-0.253886
2.05	-0.532593	0.423496	-0.586667	-0.220332
2.1	-0.508709	0.529699	-0.596238	-0.157245
2.15	-0.479855	0.62206	-0.601836	-0.0609866
2.2	-0.446758	0.699214	-0.601756	0.0698972
2.25	-0.410199	0.760503	-0.594284	0.234295
2.3	-0.370973	0.805918	-0.577826	0.42854
2.35	-0.329863	0.83599	-0.551029	0.646669
2.4	-0.287613	0.85177	-0.512891	0.880703
2.45	-0.244898	0.85493	-0.462856	1.12075
2.5	-0.202289	0.847997	-0.400912	1.35491
2.55	-0.160207	0.834589	-0.327695	1.5692
2.6	-0.11886	0.819421	-0.244586	1.74786
2.65	-0.0782052	0.807785	-0.153773	1.87487
2.7	-0.0379425	0.804366	-0.0581917	1.93676
2.75	0.00241434	0.811724	0.0386872	1.92627
2.8	0.0434032	0.829285	0.133241	1.84473
2.85	0.0854567	0.853546	0.222127	1.70161
2.9	0.128784	0.879329	0.302616	1.51155
2.95	0.173325	0.901256	0.372771	1.29091
3	0.218768	0.914714	0.43146	1.0554
3.05	0.264596	0.916179	0.478297	0.818986
3.1	0.310143	0.903119	0.513546	0.593733
3.15	0.354636	0.873775	0.538027	0.389764
3.2	0.397229	0.827022	0.553014	0.21508
3.25	0.437039	0.762386	0.560118	0.0751427
3.3	0.473174	0.680164	0.561152	-0.0275942
3.35	0.50478	0.581531	0.55797	-0.0938889
3.4	0.531086	0.468511	0.552313	-0.127384
3.45	0.551436	0.343777	0.545685	-0.133783
3.5	0.565319	0.21037	0.539275	-0.119837
