0.05	0.05	-0.0245
0.1	0.048775	-0.0483875
0.15	0.0463556	-0.0710776
0.2	0.0428017	-0.0920149
0.25	0.038201	-0.110687
0.3	0.0326666	-0.126639
0.35	0.0263347	-0.139479
0.4	0.0193607	-0.148896
0.45	0.0119159	-0.154661
0.5	0.00418288	-0.156633
0.55	-0.00364877	-0.154767
0.6	-0.0113871	-0.14911
0.65	-0.0188426	-0.139802
0.7	-0.0258327	-0.127074
0.75	-0.0321864	-0.111239
0.8	-0.0377484	-0.0926871
0.85	-0.0423828	-0.0718732
0.9	-0.0459764	-0.0493089
0.95	-0.0484419	-0.0255477
1	-0.0497193	-0.00117248
1.05	-0.0497779	0.0232193
1.1	-0.0486169	0.0470299
1.15	-0.0462654	0.0696765
1.2	-0.0427816	0.0906046
1.25	-0.0382514	0.109302
1.3	-0.0327862	0.125313
1.35	-0.0265206	0.138246
1.4	-0.0196083	0.147784
1.45	-0.0122191	0.153698
1.5	-0.00453419	0.155843
1.55	0.00325795	0.154169
1.6	0.0109664	0.148718
1.65	0.0184023	0.139626
1.7	0.0253836	0.127119
1.75	0.0317395	0.111503
1.8	0.0373147	0.0931628
1.85	0.0419728	0.0725495
1.9	0.0456003	0.0501691
1.95	0.0481087	0.0265707
2	0.0494373	0.0023332
2.05	0.0495539	-0.0219494
2.1	0.0484565	-0.0456821
2.15	0.0461724	-0.0682837
2.2	0.0427582	-0.0892011
2.25	0.0382981	-0.107923
2.3	0.032902	-0.123991
2.35	0.0267025	-0.137013
2.4	0.0198518	-0.146672
2.45	0.0125182	-0.152732
2.5	0.00488163	-0.155048
2.55	-0.00287076	-0.153564
2.6	-0.0105489	-0.148318
2.65	-0.0179648	-0.139441
2.7	-0.0249369	-0.127152
2.75	-0.0312945	-0.111754
2.8	-0.0368822	-0.0936261
2.85	-0.0415635	-0.0732132
2.9	-0.0452242	-0.0510167
2.95	-0.047775	-0.0275815
3	-0.0491541	-0.00348218
3.05	-0.0493282	0.0206904
3.1	-0.0482937	0.0443439
3.15	-0.0460765	0.0668993
3.2	-0.0427315	0.0878043
3.25	-0.0383413	0.106548
3.3	-0.0330139	0.122671
3.35	-0.0268804	0.135781
3.4	-0.0200913	0.145558
3.45	-0.0128134	0.151764
3.5	-0.00522522	0.154248
3.55	0.00248719	0.152952
3.6	0.0101348	0.14791
3.65	0.0175303	0.139246
3.7	0.0244926	0.127175
3.75	0.0308514	0.111994
3.8	0.0364511	0.0940773
3.85	0.041155	0.0738644
3.9	0.0448482	0.0518518
3.95	0.0474408	0.0285799
4	0.0488698	0.00461944
4.05	0.0491007	-0.0194422
4.1	0.0481286	-0.0430155
4.15	0.0459779	-0.0655232
4.2	0.0427017	-0.0864142
4.25	0.038381	-0.105178
4.3	0.0331221	-0.121355
4.35	0.0270543	-0.134551
4.4	0.0203268	-0.144444
4.45	0.0131046	-0.150793
4.5	0.00556497	-0.153444
4.55	-0.00210724	-0.152335
4.6	-0.00972399	-0.147494
4.65	-0.0170987	-0.139042
4.7	-0.0240508	-0.127188
4.75	-0.0304102	-0.112223
4.8	-0.0360213	-0.0945164
4.85	-0.0407471	-0.0745031
4.9	-0.0444723	-0.0526744
4.95	-0.047106	-0.0295661
5	-0.0485843	-0.00574501
5.05	-0.0488716	0.0182049
5.1	-0.0479613	0.0416969
5.15	-0.0458765	0.0641555
5.2	-0.0426687	0.0850311
5.25	-0.0384171	0.103813
5.3	-0.0332265	0.120042
5.35	-0.0272244	0.133322
5.4	-0.0205583	0.143329
5.45	-0.0133919	0.149819
5.5	-0.00590089	0.152636
5.55	0.0017309	0.151711
5.6	0.00931646	0.14707
5.65	0.01667	0.138829
5.7	0.0236114	0.12719
5.75	0.0299709	0.11244
5.8	0.0355929	0.0949435
5.85	0.0403401	0.0751294
5.9	0.0440965	0.0534845
5.95	0.0467708	0.0305401
6	0.0482978	0.00685891
6.05	0.0486407	-0.0169785
6.1	0.0477918	-0.040388
6.15	0.0457724	-0.0627962
6.2	0.0426326	-0.0836548
6.25	0.0384498	-0.102453
6.3	0.0333272	-0.118732
6.35	0.0273905	-0.132094
6.4	0.0207858	-0.142213
6.45	0.0136751	-0.148843
6.5	0.00623299	-0.151823
6.55	-0.00135816	-0.151082
6.6	-0.00891224	-0.146639
6.65	-0.0162442	-0.138606
