0.34	0.0602429	5.21692e-06	0.939757	5.21692e-06	0.5	0.761687	0.370133	3.20528e-05	-0.370133	3.20528e-05	-1.23975e-17	-0.641056	
0.35	0.0640092	5.54308e-06	0.935991	5.54308e-06	0.5	0.755164	0.383172	3.3182e-05	-0.383172	3.3182e-05	-1.29526e-17	-0.66364	
0.36	0.0679071	5.88063e-06	0.932093	5.88063e-06	0.5	0.748413	0.396442	3.43312e-05	-0.396442	3.43312e-05	-1.40628e-17	-0.686624	
0.37	0.0719389	6.22978e-06	0.928061	6.22978e-06	0.5	0.74143	0.409958	3.55017e-05	-0.409958	3.55017e-05	-1.53581e-17	-0.710033	
0.38	0.0761071	6.59074e-06	0.923893	6.59074e-06	0.5	0.734211	0.423736	3.66948e-05	-0.423736	3.66948e-05	-1.68384e-17	-0.733896	
0.39	0.0804145	6.96375e-06	0.919585	6.96375e-06	0.5	0.72675	0.437792	3.7912e-05	-0.437792	3.7912e-05	-1.68384e-17	-0.75824	
0.4	0.0848639	7.34907e-06	0.915136	7.34907e-06	0.5	0.719044	0.452144	3.91549e-05	-0.452144	3.91549e-05	-1.72085e-17	-0.783098	
0.41	0.0894585	7.74694e-06	0.910542	7.74694e-06	0.5	0.711087	0.466813	4.04252e-05	-0.466813	4.04252e-05	-1.72085e-17	-0.808503	
0.42	0.0942013	8.15767e-06	0.905799	8.15767e-06	0.5	0.702872	0.481819	4.17247e-05	-0.481819	4.17247e-05	-1.64683e-17	-0.834493	
0.43	0.099096	8.58154e-06	0.900904	8.58154e-06	0.5	0.694395	0.497186	4.30554e-05	-0.497186	4.30554e-05	-1.72085e-17	-0.861108	
0.44	0.104146	9.01889e-06	0.895854	9.01889e-06	0.5	0.685648	0.512939	4.44196e-05	-0.512939	4.44196e-05	-1.75785e-17	-0.888392	
0.45	0.109356	9.47005e-06	0.890644	9.47005e-06	0.5	0.676624	0.529105	4.58196e-05	-0.529105	4.58196e-05	-1.85037e-17	-0.916391	
0.46	0.11473	9.93541e-06	0.88527	9.93541e-06	0.5	0.667317	0.545716	4.7258e-05	-0.545716	4.7258e-05	-1.73935e-17	-0.94516	
0.47	0.120272	1.04153e-05	0.879728	1.04153e-05	0.5	0.657718	0.562804	4.87378e-05	-0.562804	4.87378e-05	-1.73935e-17	-0.974756	
